Month,State,Year,Num_of_Arrivals
January,ACT,1997,2220
January,NSW,1997,149990
January,NT,1997,2460
January,QLD,1997,97650
January,SA,1997,7880
January,TAS,1997,2820
January,Total,1997,342890
January,VIC,1997,50180
January,WA,1997,29630
February,ACT,1997,3620
February,NSW,1997,165760
February,NT,1997,5050
February,QLD,1997,114790
February,SA,1997,8750
February,TAS,1997,3770
February,Total,1997,407960
February,VIC,1997,66070
February,WA,1997,39350
March,ACT,1997,2990
March,NSW,1997,166680
March,NT,1997,3920
March,QLD,1997,113940
March,SA,1997,8730
March,TAS,1997,2280
March,Total,1997,390900
March,VIC,1997,55990
March,WA,1997,35670
April,ACT,1997,2420
April,NSW,1997,133760
April,NT,1997,2830
April,QLD,1997,100650
April,SA,1997,6170
April,TAS,1997,1600
April,Total,1997,325900
April,VIC,1997,45230
April,WA,1997,33000
May,ACT,1997,1680
May,NSW,1997,123190
May,NT,1997,4390
May,QLD,1997,94510
May,SA,1997,4590
May,TAS,1997,770
May,Total,1997,289100
May,VIC,1997,34860
May,WA,1997,25000
June,ACT,1997,1620
June,NSW,1997,125130
June,NT,1997,3980
June,QLD,1997,104980
June,SA,1997,4270
June,TAS,1997,870
June,Total,1997,308180
June,VIC,1997,38440
June,WA,1997,28530
July,ACT,1997,3020
July,NSW,1997,153290
July,NT,1997,5590
July,QLD,1997,130500
July,SA,1997,7000
July,TAS,1997,1740
July,Total,1997,397360
July,VIC,1997,64890
July,WA,1997,30820
August,ACT,1997,2830
August,NSW,1997,130430
August,NT,1997,5030
August,QLD,1997,117370
August,SA,1997,7470
August,TAS,1997,1230
August,Total,1997,330430
August,VIC,1997,38770
August,WA,1997,26780
September,ACT,1997,2150
September,NSW,1997,134300
September,NT,1997,5250
September,QLD,1997,109140
September,SA,1997,6060
September,TAS,1997,870
September,Total,1997,330940
September,VIC,1997,41430
September,WA,1997,31640
October,ACT,1997,2730
October,NSW,1997,149050
October,NT,1997,5290
October,QLD,1997,112060
October,SA,1997,8630
October,TAS,1997,1700
October,Total,1997,366480
October,VIC,1997,49080
October,WA,1997,37810
November,ACT,1997,2530
November,NSW,1997,156030
November,NT,1997,5140
November,QLD,1997,112660
November,SA,1997,9140
November,TAS,1997,2090
November,Total,1997,379460
November,VIC,1997,53540
November,WA,1997,37840
December,ACT,1997,3490
December,NSW,1997,182330
December,NT,1997,3750
December,QLD,1997,123150
December,SA,1997,12970
December,TAS,1997,4440
December,Total,1997,448280
December,VIC,1997,68380
December,WA,1997,49370
January,ACT,1998,2810
January,NSW,1998,144010
January,NT,1998,3200
January,QLD,1998,99540
January,SA,1998,7580
January,TAS,1998,3070
January,Total,1998,346230
January,VIC,1998,51310
January,WA,1998,34480
February,ACT,1998,3150
February,NSW,1998,152600
February,NT,1998,3240
February,QLD,1998,87660
February,SA,1998,9560
February,TAS,1998,4790
February,Total,1998,353610
February,VIC,1998,59930
February,WA,1998,32550
March,ACT,1998,3080
March,NSW,1998,142460
March,NT,1998,2590
March,QLD,1998,90620
March,SA,1998,8060
March,TAS,1998,2430
March,Total,1998,338560
March,VIC,1998,55750
March,WA,1998,33270
April,ACT,1998,2810
April,NSW,1998,145130
April,NT,1998,2620
April,QLD,1998,100920
April,SA,1998,7680
April,TAS,1998,1080
April,Total,1998,341080
April,VIC,1998,48300
April,WA,1998,32150
May,ACT,1998,1590
May,NSW,1998,114700
May,NT,1998,3520
May,QLD,1998,90830
May,SA,1998,4930
May,TAS,1998,960
May,Total,1998,283400
May,VIC,1998,38420
May,WA,1998,28270
June,ACT,1998,2020
June,NSW,1998,117010
June,NT,1998,3630
June,QLD,1998,108740
June,SA,1998,3650
June,TAS,1998,1000
June,Total,1998,304190
June,VIC,1998,40240
June,WA,1998,27400
July,ACT,1998,2360
July,NSW,1998,152430
July,NT,1998,6020
July,QLD,1998,117250
July,SA,1998,5430
July,TAS,1998,550
July,Total,1998,372300
July,VIC,1998,56030
July,WA,1998,31070
August,ACT,1998,1630
August,NSW,1998,134250
August,NT,1998,5110
August,QLD,1998,109970
August,SA,1998,6130
August,TAS,1998,990
August,Total,1998,323680
August,VIC,1998,37190
August,WA,1998,27450
September,ACT,1998,2530
September,NSW,1998,130130
September,NT,1998,5580
September,QLD,1998,100840
September,SA,1998,5640
September,TAS,1998,900
September,Total,1998,323860
September,VIC,1998,48670
September,WA,1998,28810
October,ACT,1998,1670
October,NSW,1998,142370
October,NT,1998,5610
October,QLD,1998,103140
October,SA,1998,6980
October,TAS,1998,1840
October,Total,1998,354750
October,VIC,1998,56360
October,WA,1998,35710
November,ACT,1998,2420
November,NSW,1998,150000
November,NT,1998,3780
November,QLD,1998,101040
November,SA,1998,9310
November,TAS,1998,1930
November,Total,1998,367910
November,VIC,1998,59560
November,WA,1998,38800
December,ACT,1998,3230
December,NSW,1998,185430
December,NT,1998,4380
December,QLD,1998,122590
December,SA,1998,13180
December,TAS,1998,3880
December,Total,1998,457640
December,VIC,1998,76160
December,WA,1998,47400
January,ACT,1999,2170
January,NSW,1999,143420
January,NT,1999,3400
January,QLD,1999,99240
January,SA,1999,8660
January,TAS,1999,2840
January,Total,1999,350980
January,VIC,1999,56450
January,WA,1999,33950
February,ACT,1999,2970
February,NSW,1999,168570
February,NT,1999,4010
February,QLD,1999,101990
February,SA,1999,10360
February,TAS,1999,2710
February,Total,1999,398570
February,VIC,1999,65440
February,WA,1999,41510
March,ACT,1999,3090
March,NSW,1999,164200
March,NT,1999,3510
March,QLD,1999,104610
March,SA,1999,8530
March,TAS,1999,2310
March,Total,1999,389020
March,VIC,1999,63520
March,WA,1999,38090
April,ACT,1999,2360
April,NSW,1999,143260
April,NT,1999,2810
April,QLD,1999,95870
April,SA,1999,7190
April,TAS,1999,1420
April,Total,1999,334130
April,VIC,1999,47940
April,WA,1999,32380
May,ACT,1999,1850
May,NSW,1999,118190
May,NT,1999,4260
May,QLD,1999,96570
May,SA,1999,6670
May,TAS,1999,1270
May,Total,1999,298130
May,VIC,1999,40910
May,WA,1999,27520
June,ACT,1999,2400
June,NSW,1999,118770
June,NT,1999,4440
June,QLD,1999,110800
June,SA,1999,6750
June,TAS,1999,850
June,Total,1999,317060
June,VIC,1999,43700
June,WA,1999,28140
July,ACT,1999,3530
July,NSW,1999,154400
July,NT,1999,7990
July,QLD,1999,125830
July,SA,1999,8550
July,TAS,1999,1060
July,Total,1999,388460
July,VIC,1999,53990
July,WA,1999,33110
August,ACT,1999,1850
August,NSW,1999,146360
August,NT,1999,5150
August,QLD,1999,118290
August,SA,1999,7090
August,TAS,1999,1020
August,Total,1999,355610
August,VIC,1999,42860
August,WA,1999,33000
September,ACT,1999,2950
September,NSW,1999,141040
September,NT,1999,6380
September,QLD,1999,112130
September,SA,1999,7780
September,TAS,1999,1300
September,Total,1999,353130
September,VIC,1999,45410
September,WA,1999,36070
October,ACT,1999,2700
October,NSW,1999,153580
October,NT,1999,7370
October,QLD,1999,114680
October,SA,1999,11860
October,TAS,1999,1260
October,Total,1999,396980
October,VIC,1999,64960
October,WA,1999,40540
November,ACT,1999,3040
November,NSW,1999,177560
November,NT,1999,4580
November,QLD,1999,112260
November,SA,1999,10380
November,TAS,1999,2180
November,Total,1999,416670
November,VIC,1999,60860
November,WA,1999,45770
December,ACT,1999,3450
December,NSW,1999,199780
December,NT,1999,4930
December,QLD,1999,117590
December,SA,1999,15770
December,TAS,1999,3330
December,Total,1999,460780
December,VIC,1999,71350
December,WA,1999,44350
January,ACT,2000,3240
January,NSW,2000,155900
January,NT,2000,3270
January,QLD,2000,88620
January,SA,2000,9740
January,TAS,2000,2880
January,Total,2000,360800
January,VIC,2000,60170
January,WA,2000,36980
February,ACT,2000,3280
February,NSW,2000,190020
February,NT,2000,4660
February,QLD,2000,107660
February,SA,2000,11400
February,TAS,2000,5620
February,Total,2000,434590
February,VIC,2000,70240
February,WA,2000,41690
March,ACT,2000,3160
March,NSW,2000,174210
March,NT,2000,5990
March,QLD,2000,104280
March,SA,2000,12370
March,TAS,2000,2400
March,Total,2000,411860
March,VIC,2000,70440
March,WA,2000,38910
April,ACT,2000,3530
April,NSW,2000,177090
April,NT,2000,4740
April,QLD,2000,113620
April,SA,2000,11710
April,TAS,2000,2110
April,Total,2000,405620
April,VIC,2000,57450
April,WA,2000,35310
May,ACT,2000,2400
May,NSW,2000,137840
May,NT,2000,4840
May,QLD,2000,95140
May,SA,2000,6550
May,TAS,2000,1020
May,Total,2000,319350
May,VIC,2000,44090
May,WA,2000,27370
June,ACT,2000,3710
June,NSW,2000,137230
June,NT,2000,6490
June,QLD,2000,115840
June,SA,2000,9140
June,TAS,2000,950
June,Total,2000,347940
June,VIC,2000,44130
June,WA,2000,30360
July,ACT,2000,5000
July,NSW,2000,177050
July,NT,2000,8530
July,QLD,2000,129700
July,SA,2000,10230
July,TAS,2000,1240
July,Total,2000,429030
July,VIC,2000,60560
July,WA,2000,36640
August,ACT,2000,2590
August,NSW,2000,154200
August,NT,2000,5240
August,QLD,2000,117080
August,SA,2000,7250
August,TAS,2000,1480
August,Total,2000,372850
August,VIC,2000,54180
August,WA,2000,30580
September,ACT,2000,5430
September,NSW,2000,222370
September,NT,2000,3660
September,QLD,2000,90230
September,SA,2000,5880
September,TAS,2000,1150
September,Total,2000,402970
September,VIC,2000,47200
September,WA,2000,26930
October,ACT,2000,3440
October,NSW,2000,184950
October,NT,2000,5780
October,QLD,2000,115220
October,SA,2000,8620
